ID;Year;Age;Netflix;Hulu;Prime Video;Disney+;Type
1;2008;18;1;0;0;0;1
2;2016;16;1;0;0;0;1
3;2013;18;1;1;0;0;1
4;2015;18;1;0;0;0;1
5;2017;16;1;0;0;0;1
6;2005;7;1;0;1;0;1
7;2013;18;1;0;0;0;1
8;2010;18;1;0;0;0;1
9;2011;18;1;0;0;0;1
10;2020;18;1;0;0;0;1
11;2017;18;1;0;0;0;1
12;2009;7;1;1;1;0;1
13;2015;18;1;0;0;0;1
14;2011;18;1;1;1;0;1
15;2017;18;1;0;0;0;1
16;2015;18;1;0;0;0;1
17;2016;16;1;0;0;0;1
18;2005;16;1;0;0;0;1
19;2019;18;1;0;0;0;1
20;2017;18;1;0;0;0;1
21;2016;18;1;0;0;0;1
22;2018;16;1;0;0;0;1
23;2013;16;1;0;0;0;1
24;2014;16;1;0;0;0;1
25;2014;18;1;0;0;0;1
26;2009;16;1;1;0;0;1
27;2016;16;1;0;0;0;1
28;2013;18;1;0;0;0;1
29;2017;16;1;0;0;0;1
30;2005;16;1;1;0;0;1
31;2003;16;1;1;0;0;1
32;2021;18;1;0;0;0;1
33;2019;16;1;0;0;0;1
34;2013;18;1;0;0;0;1
35;2009;16;1;0;0;0;1
36;2019;18;1;1;0;0;1
37;2020;16;1;0;0;0;1
38;2011;18;1;1;1;0;1
39;2018;18;1;0;0;0;1
40;2014;18;1;0;0;0;1
41;1987;7;1;1;1;0;1
42;2013;18;1;0;0;0;1
43;2006;16;1;0;0;0;1
44;2019;18;1;0;0;0;1
45;2019;18;1;0;0;0;1
46;2015;16;1;0;0;0;1
47;2013;16;1;0;0;0;1
48;2020;16;1;0;0;0;1
49;2014;16;1;0;0;0;1
